observation_date,Home_Price_Index,Mortgage_Rate,CPI,Unemployment_Rate,Median_Income,Housing_Starts,Real_GDP,Year,Month,Day
1987-01-01,63.963,9.29,111.4,6.6,63060,1774,8986.367,1987,1,1
1987-02-01,64.423,9.08,111.8,6.6,63060,1784,8986.367,1987,2,1
1987-03-01,64.734,9.07,112.2,6.6,63060,1726,8986.367,1987,3,1
1987-04-01,65.13,9.03,112.7,6.3,63060,1614,9083.256,1987,4,1
1987-05-01,65.564,10.47,113.0,6.3,63060,1628,9083.256,1987,5,1
1987-06-01,66.071,10.7,113.5,6.2,63060,1594,9083.256,1987,6,1
1987-07-01,66.508,10.35,113.8,6.1,63060,1575,9162.024,1987,7,1
1987-08-01,66.938,10.27,114.3,6.0,63060,1605,9162.024,1987,8,1
1987-09-01,67.331,10.33,114.7,5.9,63060,1695,9162.024,1987,9,1
1987-10-01,67.738,11.02,115.0,6.0,63060,1515,9319.332,1987,10,1
1987-11-01,68.104,10.97,115.4,5.8,63060,1656,9319.332,1987,11,1
1987-12-01,68.50399999999999,10.55,115.6,5.7,63060,1400,9319.332,1987,12,1
1988-01-01,68.857,10.61,116.0,5.7,63530,1271,9367.502,1988,1,1
1988-02-01,69.26100000000001,10.16,116.2,5.7,63530,1473,9367.502,1988,2,1
1988-03-01,69.63600000000001,9.87,116.5,5.7,63530,1532,9367.502,1988,3,1
1988-04-01,69.97399999999999,10.05,117.2,5.4,63530,1573,9490.594,1988,4,1
1988-05-01,70.425,10.28,117.5,5.6,63530,1421,9490.594,1988,5,1
1988-06-01,70.888,10.58,118.0,5.4,63530,1478,9490.594,1988,6,1
1988-07-01,71.35300000000001,10.39,118.5,5.4,63530,1467,9546.206,1988,7,1
1988-08-01,71.79899999999999,10.49,119.0,5.6,63530,1493,9546.206,1988,8,1
1988-09-01,72.24,10.67,119.5,5.4,63530,1492,9546.206,1988,9,1
1988-10-01,72.635,10.42,119.9,5.4,63530,1522,9673.405,1988,10,1
1988-11-01,73.071,10.22,120.3,5.3,63530,1569,9673.405,1988,11,1
1988-12-01,73.464,10.39,120.7,5.3,63530,1563,9673.405,1988,12,1
1989-01-01,73.946,10.77,121.2,5.4,64610,1621,9771.725,1989,1,1
1989-02-01,74.382,10.6,121.6,5.2,64610,1425,9771.725,1989,2,1
1989-03-01,74.778,10.78,122.2,5.0,64610,1422,9771.725,1989,3,1
1989-04-01,75.084,11.19,123.1,5.2,64610,1339,9846.293,1989,4,1
1989-05-01,75.305,11.03,123.7,5.2,64610,1331,9846.293,1989,5,1
1989-06-01,75.47800000000001,10.5,124.1,5.3,64610,1397,9846.293,1989,6,1
1989-07-01,75.655,10.07,124.5,5.2,64610,1427,9919.228,1989,7,1
1989-08-01,75.833,9.81,124.5,5.2,64610,1332,9919.228,1989,8,1
1989-09-01,76.055,10.22,124.8,5.3,64610,1279,9919.228,1989,9,1
1989-10-01,76.282,10.16,125.4,5.3,64610,1410,9938.767,1989,10,1
1989-11-01,76.521,9.82,125.9,5.4,64610,1351,9938.767,1989,11,1
